X,Y,OBJECTID,TYPE,DESCRIPTION,JURISDICTION,WEB_ADDRESS,STREET_NUMBER,STREET_NAME,CITY,ZIP,ERC_PHONE,GlobalID,CreationDate,Creator,EditDate,Editor
11834456.78875,6917067.09675001,1984,UC,MEDICAL ACCESS URGENT CARE - WOODBRIDGE,COUNTY OF PRINCE WILLIAM,https://www.medicalaccessmd.com/woodbridge,14527,JEFFERSON DAVIS HWY,WOODBRIDGE,22191,(703) 952-5748,bb49ca97-165a-43ca-aa46-d602ed393471,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11886504.21375,6980641.78075001,1985,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - ALEXANDRIA,CITY OF ALEXANDRIA,https://allcarefamilymed.com/alexandria-va-duke-st,3117,DUKE ST,ALEXANDRIA,22314,(703) 751-8800,9924583f-2c3d-42de-bfe9-c9a6006c02ca,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11845411.97425,7017627.19400001,1986,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - TYSONS,COUNTY OF FAIRFAX,https://allcarefamilymed.com/tysons-corner-va,1953,GALLOWS RD STE 100,VIENNA,22182,(703) 942-5331,099f2690-9167-4e2b-8275-cfb88921e136,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11890676.71775,6972694.18075,1987,UC,ALLCARE FAMILY MEDICINE & URGENT CARE-OLD TOWN ,COUNTY OF FAIRFAX,https://allcarefamilymed.com/alexandria-va,6020,RICHMOND HWY STE 102,ALEXANDRIA,22303,(571) 308-6776,3b54154d-34ac-4362-987c-bb8b03c3ca0e,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11877078.675,7007386.23975,1988,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - BALLSTON,COUNTY OF ARLINGTON,https://allcarefamilymed.com/ballston-va,4501,FAIRFAX DR STE 110,ARLINGTON,22203,(703) 349-6362,e600a3f1-70b4-4e13-896c-70c4b43d4b8b,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11886041.5705,7010711.31299999,1989,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - ARLINGTON,COUNTY OF ARLINGTON,https://allcarefamilymed.com/arlington-va,1515,N COURTHOUSE RD STE 140,ARLINGTON,22201,(703) 812-8200,90491b2c-c471-47cc-afa5-1dc7e21a6d92,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11869930.4135,7038939.647,1990,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - GLEN ECHO,COUNTY OF MONTGOMERY,https://allcarefamilymed.com/glen-echo-md,7307,MACARTHUR BLVD,BETHESDA,20816,(301) 825-8884,ff7557e1-2cad-4a2c-8d2d-6f3b1a583e1f,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11866464.24025,7003643.748,1991,UC,ALLCARE FAMILY MEDICINE & URGENT CARE-FALLS CHURCH,COUNTY OF FAIRFAX,https://allcarefamilymed.com/falls-church-va,6288B,ARLINGTON BLVD,FALLS CHURCH,22044,(703) 565-1888,4e74a103-ca8c-4298-a7b3-5ac6e4319a2c,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11844160.15375,7000554.64375,1992,UC,ALLCARE FAMILY MEDICINE & URGENT CARE - FAIRFAX,COUNTY OF FAIRFAX,https://allcarefamilymed.com/fairfax-va,8301,ARLINGTON BLVD #100,FAIRFAX,22031,(703) 849-0900,8c67c521-90da-491b-be7a-28d4d4b2570b,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11824301.243,7006673.20725,1993,UC,OAKTON URGENT CARE,COUNTY OF FAIRFAX,http://www.oaktonurgentcare.com/,2915,HUNTER MILL RD,OAKTON,22124,(703) 255-1190,cb3f5737-7e19-48f2-8beb-ea5809a5c614,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11859427.48675,7027359.58825,1994,UC,MCLEAN IMMEDIATE CARE FAMILY MEDICAL CENTER,COUNTY OF FAIRFAX,https://immediatecare.net/,1340,OLD CHAIN BRIDGE RD,MCLEAN,22101,(703) 893-2273,581c4e5b-ca7b-4174-8b19-0d8a97f43d60,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11812185.1045,7030923.76925001,1995,UC,RESTON MEDICAL CENTER,COUNTY OF FAIRFAX,https://healthy.kaiserpermanente.org/maryland-virginia-washington-dc/facilities/Reston-Medical-Center-100404,1890,METRO CENTER DR,RESTON,20190,(800) 777-7904,377cb3d4-9b26-464b-bff4-40b0775bfe38,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11845826.81825,7024095.32425,1996,UC,TYSONS CORNER MEDICAL CENTER,COUNTY OF FAIRFAX,https://healthy.kaiserpermanente.org/maryland-virginia-washington-dc/facilities/Tysons-Corner-Medical-Center-300450,8008,WESTPARK DR,MCLEAN,22102,(703) 287-6400,246e7d87-6f56-41f0-ad5b-fd6126fec72e,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11873376.004,7009941.01199999,1997,HOSP,VIRGINIA HOSPITAL CENTER MAIN HOSPITAL,COUNTY OF ARLINGTON,https://www.virginiahospitalcenter.com/,1701,N GEORGE MASON DR,ARLINGTON,22205,(703) 558-5000,fdb279c8-bc33-4bfc-8e05-540b199f9c19,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11866336.0535,7021329.75650001,1998,UC,OLD DOMINION URGENT CARE,COUNTY OF FAIRFAX,http://www.odurgentcare.com/,6262,OLD DOMINION DR,MCLEAN,22101,(703) 893-2505,6b3f6f2a-ba83-4d48-a47e-b8febba0af30,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11871742.1585,6994956.73074999,1999,UC,NOVA PATIENT CARE - FALLS CHURCH,COUNTY OF FAIRFAX,http://www.novapatientcare.com/falls-church,5860,COLUMBIA PIKE STE 105,FALLS CHURCH,22041,(703) 348-9111,3d80278b-a481-4c6b-92b2-28a525c02cd5,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11845079.988,7003079.64,2000,UC,FAIRFAX URGENT CARE AND HEALTHPLEX,COUNTY OF FAIRFAX,https://fairfaxurgentcare.net/urgent-care-center/,8191,STRAWBERRY LN STE 6,FALLS CHURCH,22042,(703) 493-0404,29276079-605d-4d6a-b5a0-e87f821f97ef,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11857767.50775,7026648.757,2001,UC,MCLEAN MEDICAL CENTER,COUNTY OF FAIRFAX,https://inovadocs.com/locations/,6858,OLD DOMINION DR STE 102,MCLEAN,22101,(703) 847-9800,a8f30953-b3f5-4db3-8468-2fff430f3113,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11875309.314,6982166.74699999,2002,UC,ALEXANDRIA HEALTH CARE CENTER,CITY OF ALEXANDRIA,https://inovadocs.com/locations/,5249,DUKE ST STE 100,ALEXANDRIA,22304,(703) 658-2650,336badfb-26e3-41b3-8332-f2c00b19b8bb,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11874060.54525,6998980.7465,2003,UC,MEDICAL ASSOCIATES OF NORTHERN VIRGINIA,COUNTY OF ARLINGTON,https://inovadocs.com/locations/,611,S CARLING SPRINGS RD STE 504,ARLINGTON,22204,(703) 998-6666,364662cd-5948-4611-9c5d-2addbe5eee06,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11827628.14775,7048456.73549999,2004,UC,ACE MEDICAL CARE,COUNTY OF FAIRFAX,https://acemedicalcare.org/,9845,GEORGETOWN PIKE,GREAT FALLS,22066,(703) 757-0311,282086bb-1468-4d8b-b665-9eac592e535a,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11869782.82325,6982741.08724999,2005,UC,BLUE NILE MEDICAL CENTER,CITY OF ALEXANDRIA,http://www.bluenilemedical.com/contact-us.html,85,S BRAGG ST STE 100,ALEXANDRIA,22312,(703) 845-0700,ca7002e5-d117-431d-97b1-39cf0949c456,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11875670.55975,7013156.9465,2006,UC,INOVA URGENT CARE - NORTH ARLINGTON,COUNTY OF ARLINGTON,https://www.inova.org/locations/inova-urgent-care-north-arlington,4600,LEE HWY,ARLINGTON,22207,(703) 763-4020,ead06ec0-09a8-46b5-8480-5128c94fd1cc,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11759029.22125,7024088.0625,2007,UC,INOVA URGENT CARE - DULLES SOUTH,COUNTY OF LOUDOUN,https://www.inova.org/locations/inova-urgent-care-dulles-south,24801,PINEBROOK RD #110,CHANTILLY,20152,(703) 531-8376,d2722ec4-2945-4b62-9743-5d889ea4bd68,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11883885.677,7000058.837,2008,UC,INOVA URGENT CARE - SOUTH ARLINGTON,COUNTY OF ARLINGTON,https://www.inova.org/locations/inova-urgent-care-south-arlington,3263,COLUMBIA PIKE,ARLINGTON,22204,(703) 372-9919,1a768877-5294-4193-8de6-7b9b086f89e8,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11815001.01075,6994841.13975,2009,UC,MILLENNIUM MEDICAL CARE - FAIRFAX,COUNTY OF FAIRFAX,https://millenniummedicalcare.com/locations/fairfax-office/,11213H,LEE HWY,FAIRFAX,22030,(703) 372-4429,358641db-4c37-4e00-8787-3ddf1d7f8815,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11796664.225,7037745.06825,2010,UC,MILLENNIUM MEDICAL CARE - HERNDON,COUNTY OF FAIRFAX,https://millenniummedicalcare.com/locations/herndon-office/,1043,STRLING RD STE 104,HERNDON,20171,(703) 743-7849,bdd5f5c3-3881-42e2-944b-aeb835e872af,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11860544.82275,7006658.3275,2011,UC,PMA HEALTH IMMEDIATE CARE - FALLS CHURCH,CITY OF FALLS CHURCH,https://www.mypmahealth.com/immediate-care/,510,W ANNANDALE RD STE 100,FALLS CHURCH,22046,(703) 236-7133,78f13b80-8b75-48e0-ad22-0edff3c5fa10,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11881568.541,7007987.43375,2012,UC,PMA HEALTH IMMEDIATE CARE - CLARENDON,COUNTY OF ARLINGTON,https://www.mypmahealth.com/immediate-care/,3301,WILSON BLVD,ARLINGTON,22201,(703) 522-1860,c6ee5a29-6a4f-409e-bbb2-26becc150861,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11854335.06675,6988828.91225,2013,UC,PROGRESSIVE URGENT & PRIMARY CARE,COUNTY OF FAIRFAX,https://www.progressiveurgentcare.com/,7306,MAPLE PL,ANNANDALE,22003,(703) 333-5001,e0a38175-7c48-4448-ae7b-a1da5675c6af,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11870540.95525,7012660.77474999,2014,UC,URGENT CARE CENTER OF ARLINGTON,COUNTY OF ARLINGTON,https://www.urgentcarearlingtonva.com/?utm_source=gmb_auth,2439,N HARRISON ST,ARLINGTON,22207,(571) 395-9912,3810008b-1e71-4270-8556-046b97aa385b,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11802935.069,7038297.54799999,2015,UC,FAMILY IMMEDIATE CARE ,COUNTY OF FAIRFAX,http://familyimmediatecare.com/our-services.html,420,ELDEN ST,HERNDON,20170,(571) 353-1899,ffffc2ce-5e93-4391-ace3-6c3b949734de,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11884436.97625,6987883.4585,2016,UC,MEDSTAR HEALTH URGENT CARE - ALEXANDRIA,CITY OF ALEXANDRIA,https://www.medstarhealth.org/mhs/urgent-care/alexandria/,3610 D,KING ST,ALEXANDRIA,22302,(703) 845-2815,4e9cc193-ada5-4376-9dbd-2e5ef2e85066,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11856687.047,6970469.5045,2017,UC,PEDIATRICS URGENT CARE - SPRINGFIELD,COUNTY OF FAIRFAX,https://pmpediatrics.com/location/virginia-springfield/,6358,SPRINGFIELD PLZ,SPRINGFIELD,22150,(703) 644-5437,0e345a96-c0bf-45e3-b05d-a76159520102,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11796110.20275,7035165.22575,2018,UC,PEDIATRICS URGENT CARE - HERNDON,COUNTY OF FAIRFAX,https://pmpediatrics.com/location/virginia-herndon/,905,HERNDON PKWY,HERNDON,20170,(703) 437-5437,c19c13f1-ab62-40ad-a915-bd518dafbd1a,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11816901.017,6995794.50525001,2019,UC,PEDIATRICS URGENT CARE - FAIRFAX,COUNTY OF FAIRFAX,https://pmpediatrics.com/location/virginia-fairfax/,11056,LEE HWY,FAIRFAX,22030,(703) 552-5437,af07928b-d703-4e16-a12c-408a527b24d4,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11794639.06,7048689.17375,2020,UC,CARENOW URGENT CARE - STERLING PARK,COUNTY OF LOUDOUN,https://www.carenow.com/locations/northern-virginia/sterling-park/,101,ENTERPRISE ST,STERLING,20164,(703) 844-0380,adabf71a-32ae-441c-bc56-d4b04cf4a91c,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11794929.20525,7058651.16949999,2021,UC,CARENOW URGENT CARE - STERLING AT CASCADES,COUNTY OF LOUDOUN,https://www.carenow.com/locations/northern-virginia/sterling-at-cascades/,46200,POTOMAC RUN PLZ,STERLING,20164,(703) 430-1232,bea2c110-4a36-476b-9c40-312689048c27,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
11772562.34725,7047052.04275,2022,HOSP,INOVA EMERGENCY ROOM - HEALTHPLEX ,COUNTY OF LOUDOUN,https://www.inova.org/locations/inova-emergency-room-ashburn-healthplex,22505,LANDMARK CT #210,ASHBURN,20148,(571) 612-6400,416773d9-ceb0-4e07-85b4-0a4386f601ec,2024/09/22 05:02:41.392+00,FairfaxCounty,2024/09/22 05:02:41.392+00,FairfaxCounty
